"uid","DeviantName","Harmonic","Pitch","Tempo","gender","audition","vision","MultitaskingAbility","MultitaskingExperience","MusicExperience","UsingNotifi","computerExperience","handness","Env.Q1","Env.Q2","Env.Q3","Env.Q4","Env.Q5","Env.Q6","SumHit","age","engagement_notifi","Acc","Duration","ageGroup"
"-LKRqjanMXrWLgUsjVNH","ComplexHighFast","Complex","High","Fast","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"875","adult"
"-LKRqjanMXrWLgUsjVNH","ComplexHighSlow","Complex","High","Slow","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"1400","adult"
"-LKRqjanMXrWLgUsjVNH","ComplexLowFast","Complex","Low","Fast","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"875","adult"
"-LKRqjanMXrWLgUsjVNH","ComplexLowSlow","Complex","Low","Slow","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"1400","adult"
"-LKRqjanMXrWLgUsjVNH","SimpleHighFast","Simple","High","Fast","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"562","adult"
"-LKRqjanMXrWLgUsjVNH","SimpleHighSlow","Simple","High","Slow","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"900","adult"
"-LKRqjanMXrWLgUsjVNH","SimpleLowFast","Simple","Low","Fast","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"562","adult"
"-LKRqjanMXrWLgUsjVNH","SimpleLowSlow","Simple","Low","Slow","Female","Yes","Yes","Mid","Often","Somewhat","Sometimes","Medium","ambidextrous","laptopTable","computerSpeaker","mouse","Private","Noisy","LowPositive",2,50,16,1,"900","adult"
"-LKvpzqiFtcj2Cj_3PXN","ComplexHighFast","Complex","High","Fast","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"875","adult"
"-LKvpzqiFtcj2Cj_3PXN","ComplexHighSlow","Complex","High","Slow","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"1400","adult"
"-LKvpzqiFtcj2Cj_3PXN","ComplexLowFast","Complex","Low","Fast","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",0,29,15,0,"875","adult"
"-LKvpzqiFtcj2Cj_3PXN","ComplexLowSlow","Complex","Low","Slow","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"1400","adult"
"-LKvpzqiFtcj2Cj_3PXN","SimpleHighFast","Simple","High","Fast","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"562","adult"
"-LKvpzqiFtcj2Cj_3PXN","SimpleHighSlow","Simple","High","Slow","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"900","adult"
"-LKvpzqiFtcj2Cj_3PXN","SimpleLowFast","Simple","Low","Fast","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"562","adult"
"-LKvpzqiFtcj2Cj_3PXN","SimpleLowSlow","Simple","Low","Slow","Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive",2,29,15,1,"900","adult"
"-LL_U0WR6aapJ_l20Mic","ComplexHighFast","Complex","High","Fast","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"875","adult"
"-LL_U0WR6aapJ_l20Mic","ComplexHighSlow","Complex","High","Slow","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"1400","adult"
"-LL_U0WR6aapJ_l20Mic","ComplexLowFast","Complex","Low","Fast","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",0,24,15,0,"875","adult"
"-LL_U0WR6aapJ_l20Mic","ComplexLowSlow","Complex","Low","Slow","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"1400","adult"
"-LL_U0WR6aapJ_l20Mic","SimpleHighFast","Simple","High","Fast","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"562","adult"
"-LL_U0WR6aapJ_l20Mic","SimpleHighSlow","Simple","High","Slow","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"900","adult"
"-LL_U0WR6aapJ_l20Mic","SimpleLowFast","Simple","Low","Fast","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"562","adult"
"-LL_U0WR6aapJ_l20Mic","SimpleLowSlow","Simple","Low","Slow","Female","Yes","Yes","Good","Often","Somewhat","Often","Medium","right","laptopTable","earphone","mouse","Private","Noisy","HighPositive",2,24,15,1,"900","adult"
"-LLKylnCvGbibV8uIyUw","ComplexHighFast","Complex","High","Fast","Male","Yes","Yes","Good","Often","Somewhat","Rarely","High","right","laptopTable","earphone","mouse","Private","Noisy","LowPositive",2,41,12,1,"875","adult"
"-LLKylnCvGbibV8uIyUw","ComplexHighSlow","Complex","High","Slow","Male","Yes","Yes","Good","Often","Somewhat","Rarely","High","right","laptopTable","earphone","mouse","Private","Noisy","LowPositive",0,41,12,0,"1400","adult"
"-LLKylnCvGbibV8uIyUw","ComplexLowFast","Complex","Low","Fast","Male","Yes","Yes","Good","Often","Somewhat","Rarely","High","right","laptopTable","earphone","mouse","Private","Noisy","LowPositive",2,41,12,1,"875","adult"
