"uid","vid","setNum","DeviantName","Harmonic","Pitch","Tempo","reactionTime","hit","engagement_notifi","Q1","Q2","Q3","age","gender","audition","vision","MultitaskingAbility","MultitaskingExperience","MusicExperience","UsingNotifi","computerExperience","handness","Env.Q1","Env.Q2","Env.Q3","Env.Q4","Env.Q5","Env.Q6","Duration","ageGroup"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","SimpleLowFast","Simple","Low","Fast",2646,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","562","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","ComplexLowSlow","Complex","Low","Slow",2945,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","1400","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","ComplexHighSlow","Complex","High","Slow",2606,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","1400","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","SimpleHighFast","Simple","High","Fast",2566,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","562","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","SimpleHighSlow","Simple","High","Slow",2572,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","900","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","SimpleLowSlow","Simple","Low","Slow",2562,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","900","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","ComplexHighFast","Complex","High","Fast",2751,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","875","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","ComplexLowFast","Complex","Low","Fast",2607,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","875","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","SimpleLowFast","Simple","Low","Fast",2856,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","562","adult"
"-LKvpzqiFtcj2Cj_3PXN","video1","Set1","ComplexLowSlow","Complex","Low","Slow",3529,1,15,"Right","Right","Right",29,"Female","Yes","Yes","Bad","Sometimes","None","Rarely","Medium","right","laptopLap","earphone","mouse","Private","Quiet","LowPositive","1400","adult"
